source_image,spot_id,A sample of Background cells,A sample of B cells,A sample of Macrophages/Monocytes cells,A sample of Adipocytes cells,A sample of Dendritic cells,A sample of T cells,A sample of Granulocytes cells,A sample of NK cells,A sample of Nerves cells,A sample of Plasma cells,A sample of Smooth muscle cells,A sample of Stroma cells,A sample of Tumor cells,A sample of Vasculature/Lymphatics cells,A sample of Other cells
reg001_A_patch.tiff,patch_26,22.049067,16.60014,17.002367,19.481073,16.61263,19.385078,17.683855,17.544573,20.943289,15.398724,19.141338,21.251438,20.217926,19.745066,23.537745
reg001_A_patch.tiff,patch_27,22.383575,17.274881,16.989758,20.365496,16.541342,20.000092,17.053167,18.114367,21.071362,14.785086,19.432985,22.453402,20.603455,19.27424,24.07091
reg001_A_patch.tiff,patch_28,20.751724,17.513742,17.3403,21.031452,18.751657,19.00212,18.200796,18.56321,20.836246,16.013199,17.980324,19.774317,19.45076,20.553415,22.382353
reg001_A_patch.tiff,patch_29,20.982706,16.064655,18.163528,21.31852,16.28008,18.365047,18.03332,17.345955,21.729904,16.35744,18.455296,19.880527,20.193073,20.836012,22.891977
reg001_A_patch.tiff,patch_30,20.904285,15.274282,17.806519,21.17626,16.377666,18.086481,17.822823,17.737122,21.91373,16.18647,19.300667,19.757399,20.713743,22.411861,23.714804
reg001_A_patch.tiff,patch_31,21.347782,15.561407,16.300964,21.620605,15.574655,18.51763,16.518932,16.491062,21.323887,15.525414,20.2498,21.899044,20.037817,20.102455,23.453533
reg001_A_patch.tiff,patch_32,21.991053,16.575483,16.026365,18.755436,16.17548,19.464891,17.28155,17.246218,21.054369,15.239733,20.733187,22.05212,20.25185,19.778051,23.62596
reg001_A_patch.tiff,patch_33,21.351034,16.465399,15.835914,18.290615,15.797211,19.820427,16.380941,17.06019,20.0434,14.80708,19.06773,21.403444,19.972448,19.165201,23.224945
reg001_A_patch.tiff,patch_34,21.518892,21.163092,17.978785,14.598995,22.929968,22.67988,18.475796,23.254108,20.902464,20.678286,18.325848,20.706686,23.173399,21.38358,25.29112
reg001_A_patch.tiff,patch_35,22.781094,20.671564,18.122795,14.805561,21.96817,22.504698,17.675486,22.741993,21.125822,19.76004,18.382494,21.505022,23.875725,19.747887,25.49046
reg001_A_patch.tiff,patch_36,21.327724,18.940601,17.836958,17.501482,20.006334,20.141743,18.134338,20.428059,20.871056,17.928745,17.219707,19.752562,21.357817,20.960854,23.788147
reg001_A_patch.tiff,patch_37,19.956097,14.639823,17.06927,22.04512,15.026705,17.357729,16.267311,16.196083,21.026735,14.591722,18.489393,19.802702,19.45342,20.432053,22.613432
reg001_A_patch.tiff,patch_38,21.387527,16.102009,17.23259,23.565922,16.89242,18.513718,17.154675,16.709368,22.220222,15.427605,20.13739,21.348412,20.101574,21.110111,22.922194
reg001_A_patch.tiff,patch_39,20.52889,16.45671,17.50255,18.403685,16.162857,18.897348,17.727865,16.659115,21.060122,15.043665,16.705845,19.28583,18.860811,20.477013,22.54799
reg001_A_patch.tiff,patch_40,20.746824,21.062054,18.93676,15.561335,21.889528,21.30744,18.502163,22.434387,19.130579,19.94523,15.438711,19.579128,21.78388,19.440187,23.883755
reg001_A_patch.tiff,patch_41,22.553562,23.036346,18.264696,13.030402,23.863712,23.437788,18.430567,23.708036,20.05524,20.456871,17.983217,21.715277,23.930561,20.233278,25.282034
reg001_A_patch.tiff,patch_42,22.732662,24.399487,19.54363,13.047822,23.85828,25.037874,19.849901,25.8074,20.329655,22.85523,17.207766,20.181158,23.874567,19.66526,25.572004
reg001_A_patch.tiff,patch_43,20.255714,18.789543,17.603481,14.406672,20.818161,20.683,17.855883,21.209757,20.695684,18.694487,16.39863,19.279203,22.01945,20.683647,24.724854
reg001_A_patch.tiff,patch_44,20.516792,17.79831,18.420925,19.005167,18.658062,19.426403,18.19283,18.63999,20.568403,17.437698,16.14919,19.817656,20.414663,20.847942,23.266352
reg001_A_patch.tiff,patch_45,20.601112,19.18473,20.12791,21.0547,18.462585,19.969,19.411783,19.08945,21.807093,18.519577,17.524998,21.02328,20.060436,22.16311,23.387465
reg001_B_cell.tiff,cell_0,19.051702,16.868536,18.446005,23.41481,16.196327,17.58166,17.188759,18.474571,21.471497,17.788338,16.959402,21.401993,19.87681,21.72987,23.048788
reg001_B_cell.tiff,cell_1,20.0121,18.999527,19.257908,22.607857,17.888926,19.231256,18.727228,19.419209,21.728601,18.495901,16.489323,21.579313,19.485573,21.71326,23.222218
reg001_B_cell.tiff,cell_2,20.401428,19.340572,18.328869,23.729887,18.053038,20.057888,17.987099,19.641909,22.940756,17.768742,17.027443,21.679808,20.158321,20.648037,23.243574
reg001_B_cell.tiff,cell_4,19.371054,18.023499,18.118362,21.806538,16.996716,18.639801,18.16278,18.716068,21.080563,17.784857,16.167007,21.664223,19.104858,21.830986,23.039776
reg001_B_cell.tiff,cell_5,20.452126,18.347979,17.967884,23.57542,18.1278,18.847265,18.387974,19.461905,22.507418,17.797169,19.601229,22.401897,19.869495,21.607988,23.30714
reg001_B_cell.tiff,cell_6,22.665611,22.105614,20.732035,23.12593,20.650583,21.646404,20.599094,20.70322,24.009605,20.40854,21.085691,23.88597,22.000525,22.701992,24.179451
reg001_B_cell.tiff,cell_7,20.008389,18.335384,17.1093,23.208464,18.308386,18.662706,17.418478,18.27055,21.921494,16.685146,18.013187,21.852325,19.199175,20.581633,22.047682
reg001_B_cell.tiff,cell_8,20.130901,18.360691,16.110212,20.942316,17.685781,18.520233,16.868473,17.875105,20.843672,16.237858,17.243681,20.911818,19.503965,19.716307,21.878675
reg001_B_cell.tiff,cell_10,19.66212,17.756916,17.937737,21.443508,16.938196,19.06025,17.070051,18.948538,21.594687,17.532223,16.04722,20.99323,20.14726,20.736662,22.847265
reg001_B_cell.tiff,cell_11,21.263826,20.085667,18.04966,21.498676,18.91876,21.055136,18.434748,19.208256,22.679539,18.39957,18.854876,21.392786,20.681723,21.144083,22.704645
reg001_B_cell.tiff,cell_12,21.150444,18.790503,17.474392,21.723944,18.560848,19.621798,17.996878,19.119553,21.582613,17.570442,16.94156,21.067167,20.771564,20.055586,22.80139
reg001_B_cell.tiff,cell_13,21.124748,18.66483,15.91069,21.78116,18.136332,19.40166,16.972603,17.845854,22.477613,16.235971,19.08837,22.73875,20.132065,20.404936,22.915182
reg001_B_cell.tiff,cell_14,21.586369,20.495066,19.29994,23.249184,20.027996,20.673876,20.634312,21.321842,22.180412,19.87336,18.780704,23.66276,20.66581,21.338593,24.534235
reg001_B_cell.tiff,cell_15,23.11649,21.795048,19.516989,22.697481,21.415098,22.28048,20.217985,21.244177,23.725441,19.940466,21.021215,23.04884,22.06129,22.426823,23.781717
reg001_B_cell.tiff,cell_16,23.023878,20.710981,18.636276,22.029451,19.49175,21.66713,19.742748,19.926119,23.90316,19.315113,21.277355,23.088846,21.464,22.327377,23.572794
reg001_B_cell.tiff,cell_17,21.019077,19.899183,17.896769,20.762344,18.595222,21.113533,17.786455,19.44944,22.896431,18.406443,19.113522,21.350945,20.750383,21.01983,23.00581
reg001_B_cell.tiff,cell_18,21.327745,17.561663,15.894055,21.54351,17.546095,19.293753,16.758482,17.95802,22.83804,16.43711,20.12286,21.795473,20.149017,20.359245,23.045326
reg001_B_cell.tiff,cell_19,21.889551,18.947933,16.669346,21.91285,18.32031,19.741884,17.697428,18.559902,22.541553,16.831764,19.61381,23.19837,20.87207,20.935644,23.293821
reg001_B_cell.tiff,cell_20,21.230833,19.900215,16.727179,21.659554,18.641932,19.278313,17.511919,18.781,21.63471,17.804487,18.789547,23.492859,20.087332,19.676151,22.896727
reg001_B_cell.tiff,cell_21,20.102118,19.879961,17.780611,22.063051,19.019512,19.676846,18.82636,19.941729,20.757418,18.00879,16.507751,21.947687,19.668056,20.130796,22.566168
reg001_B_cell.tiff,cell_22,22.10493,19.557323,19.340338,24.769735,19.239418,20.639406,19.485277,19.451004,23.584557,18.158777,18.610456,23.514305,21.30675,22.427067,24.722887
reg001_B_cell.tiff,cell_23,22.373749,18.628897,17.189129,22.675848,18.448769,20.411308,18.29282,18.711487,24.42111,17.501019,21.612764,22.545242,21.145823,22.796993,23.653742
reg001_B_cell.tiff,cell_24,21.120893,17.10969,15.459564,20.8307,16.378035,18.817797,16.89925,17.95168,23.03649,16.536108,21.610199,22.251553,20.292412,21.126791,23.352785
reg001_B_cell.tiff,cell_25,21.530418,17.854265,15.123447,21.2849,17.105104,19.06393,16.255463,17.52427,22.226768,16.132273,20.554258,23.436625,20.449627,20.510391,23.020422
reg001_B_cell.tiff,cell_26,19.974262,17.629816,19.14562,22.31291,17.45745,18.180857,18.859266,18.447424,21.57953,17.97844,16.764704,21.645393,19.595554,21.972662,23.246933
reg001_B_cell.tiff,cell_27,20.762348,20.596525,19.436893,24.803062,19.65672,19.957737,19.345615,21.088272,23.63385,19.433722,18.946608,21.938745,20.369213,21.348585,23.417006
reg001_B_cell.tiff,cell_28,21.559158,17.925613,15.829474,22.053635,17.258202,19.437757,16.711676,18.277925,23.158041,16.527122,21.16928,23.095942,20.76737,21.050234,23.142546
reg001_B_cell.tiff,cell_29,19.336803,15.739507,14.392065,18.185019,15.087966,18.198156,15.564451,16.66424,21.293367,16.075333,19.887684,20.747297,19.494555,19.66251,22.629084
reg001_B_cell.tiff,cell_30,19.404013,14.910735,14.47019,17.467577,14.331459,17.437668,15.473666,16.54181,21.41211,16.372463,20.025816,20.313795,19.509712,19.655699,22.549067
reg001_B_cell.tiff,cell_31,18.871105,15.417089,15.721774,18.80615,15.754991,16.73483,16.91993,15.406728,20.247091,15.502541,16.385944,19.88125,18.890707,21.294872,21.990019
reg001_B_cell.tiff,cell_32,19.006817,16.162968,15.135608,18.592203,16.02776,17.227083,16.686476,16.617077,20.597637,16.139614,17.870367,20.776,18.925941,21.118784,22.21083
reg001_B_cell.tiff,cell_34,21.088861,18.253582,19.481747,25.187656,18.44566,19.917984,19.234165,19.750887,24.135221,18.667103,19.773014,22.438599,20.670391,22.3104,24.164537
reg001_B_cell.tiff,cell_35,21.472267,20.89786,20.72474,21.828592,19.779371,20.912941,19.675901,20.688904,22.147955,18.913353,17.028772,22.159025,20.678627,21.276674,23.551802
reg001_B_cell.tiff,cell_36,21.571772,20.106665,19.78201,21.848711,19.605406,20.573654,18.776688,20.4052,22.07155,18.35865,16.460548,21.388391,20.767864,19.9607,23.270948
reg001_B_cell.tiff,cell_37,20.132715,18.462719,19.126678,22.859657,17.460224,18.787582,18.233671,19.167032,21.998095,18.252478,17.58208,21.65785,19.593214,21.783268,23.262453
reg001_B_cell.tiff,cell_38,21.42735,19.657951,19.19456,19.077143,19.20841,20.35054,18.476414,20.585953,21.000248,18.70062,15.67969,20.748297,21.211273,19.481874,23.542246
reg001_B_cell.tiff,cell_39,20.424435,20.932716,18.324902,20.754148,19.377096,21.184147,18.156944,19.706188,20.902653,17.923193,16.904703,21.292656,19.704817,19.84644,22.102406
reg001_B_cell.tiff,cell_40,21.146769,19.294903,19.23567,21.474924,18.786373,20.330978,18.741163,19.88176,22.683594,18.351923,17.556997,21.788202,20.737318,20.887598,23.873856
reg001_B_cell.tiff,cell_41,21.265833,18.094242,18.01709,22.753927,17.308414,19.24518,17.365261,19.086905,22.236115,16.95962,16.97008,21.27057,20.683567,19.95353,23.390364
reg001_B_cell.tiff,cell_42,20.903643,18.763596,18.84882,21.764048,17.833294,20.038158,17.63839,19.614712,22.032883,17.383148,16.93256,20.681726,20.22764,19.245094,22.653595
reg001_B_cell.tiff,cell_43,20.50526,18.479702,18.619509,22.706556,18.031286,19.40231,17.903446,19.517996,22.58797,17.165634,17.096735,21.079807,20.644337,20.393778,23.3639
reg001_B_cell.tiff,cell_44,20.614073,19.014109,17.843386,22.425478,18.624273,20.111242,17.71359,19.36013,22.169712,17.239721,17.291069,21.245998,20.27913,20.150496,22.930346
reg001_B_cell.tiff,cell_45,20.316591,15.36669,17.682203,18.928717,14.6184225,17.676304,16.509787,17.92931,21.490622,16.646395,17.134907,20.706123,20.756124,19.535173,23.691074
reg001_B_cell.tiff,cell_46,19.966879,18.710875,17.908085,23.716938,18.599396,18.737759,18.045105,18.511328,22.395147,17.65147,18.530453,22.379759,19.531055,21.54216,22.234076
reg001_B_cell.tiff,cell_47,19.556087,16.24976,17.200754,20.461731,15.065824,17.857513,16.714157,17.826687,21.230032,16.232595,16.131529,20.66204,19.636688,20.769476,22.980358
reg001_B_cell.tiff,cell_48,22.2874,21.02007,18.465628,21.152,20.25819,21.426044,19.544527,19.871357,23.203356,19.428087,19.779375,22.117542,21.36832,22.100096,23.376507
reg001_B_cell.tiff,cell_49,22.588436,21.630114,19.35967,22.39302,20.63235,22.44066,19.711678,21.106522,23.266088,19.408285,19.501085,22.70091,21.52598,21.363037,23.445251
reg001_B_cell.tiff,cell_50,21.008682,18.643665,17.665823,22.670353,18.41491,20.01959,17.980312,19.010187,23.879267,17.230568,19.605223,21.804688,20.350368,21.10994,23.368437
reg001_B_cell.tiff,cell_51,20.476244,18.39754,18.324547,17.536694,17.696524,19.6759,17.805431,20.298132,20.844015,18.812496,15.220659,19.14086,21.050764,18.782846,23.613861
reg001_B_cell.tiff,cell_52,20.120874,15.410106,19.70488,20.25905,14.750148,17.173557,18.287743,18.130617,22.648245,17.571484,17.574139,20.12908,20.94013,21.522062,23.989109
reg001_B_cell.tiff,cell_54,21.6586,19.427094,17.996267,21.49542,18.829317,20.785675,18.370893,18.917711,23.450235,18.088036,20.31547,22.5368,20.74435,22.271313,22.99197
reg001_B_cell.tiff,cell_55,21.05755,16.201595,18.674835,18.654411,16.340708,18.645163,18.12195,19.255064,21.562283,17.786697,17.00974,20.177141,21.647684,20.393547,24.261448
reg001_B_cell.tiff,cell_56,21.22003,18.741787,16.307482,21.95331,18.87041,19.879812,17.265003,18.208292,21.632582,16.213024,17.482958,22.068508,20.03477,20.164167,22.310463
reg001_B_cell.tiff,cell_57,21.353086,18.788115,16.391348,21.007257,18.239676,19.564293,17.274315,18.547253,22.167158,17.585117,20.171694,23.092606,21.105545,20.413935,23.01659
reg001_B_cell.tiff,cell_58,20.658062,17.22587,19.409124,18.203009,16.610914,19.396523,17.661194,19.44497,21.823322,18.488398,15.7481,19.092596,21.406925,19.314041,23.757126
reg001_B_cell.tiff,cell_59,20.715717,17.977266,18.186974,18.406788,17.319372,19.517328,17.55707,19.609169,21.453423,18.160234,16.228603,19.686848,20.867252,19.246208,23.564985
reg001_B_cell.tiff,cell_61,20.794926,19.812565,16.094955,20.916723,18.00619,19.539528,17.063549,18.279236,21.387016,17.749472,18.728563,23.185944,19.619053,19.681057,22.25466
reg001_B_cell.tiff,cell_62,19.592054,17.81836,17.29934,18.215452,16.120132,18.570255,16.520536,17.788502,19.946383,16.761084,15.421706,20.358477,19.56946,18.57563,22.44116
reg001_B_cell.tiff,cell_63,21.350945,19.488266,18.943632,21.013988,18.002487,19.795574,18.916277,19.336512,22.351034,18.350502,17.095352,22.247335,20.819935,20.909412,23.786882
reg001_B_cell.tiff,cell_64,19.849468,16.910198,17.232332,19.757912,15.691342,17.916407,17.012592,17.233898,21.324265,16.42171,16.301487,20.639582,19.34723,20.132483,22.956932
reg001_B_cell.tiff,cell_65,19.847147,17.962261,17.677607,18.804838,15.991807,18.495249,17.13621,17.991142,20.674932,17.463964,15.975015,20.651361,19.549093,19.732563,22.776054
reg001_B_cell.tiff,cell_66,19.24382,15.692587,15.052517,19.558058,15.068945,18.06573,16.09336,16.296885,21.256664,15.356913,18.713528,20.098349,18.75043,19.709803,21.596771
reg001_B_cell.tiff,cell_67,20.14821,16.901524,18.80638,23.466448,17.1002,17.760319,18.251188,19.077234,22.273645,16.970509,17.270687,21.53116,20.083824,20.739342,23.459602
reg001_B_cell.tiff,cell_68,19.386883,17.596306,19.319025,22.572266,16.229675,18.396769,18.457993,19.024185,22.204643,18.153675,17.17281,21.937918,19.58865,22.389263,23.453072
reg001_B_cell.tiff,cell_69,20.737629,19.2334,19.724253,23.778465,18.539436,19.501404,18.79307,19.732273,22.609505,18.634045,17.272974,22.735012,20.838984,22.222538,23.72526
reg001_B_cell.tiff,cell_70,19.533842,15.6348915,19.113941,23.714563,15.150367,17.22683,17.823357,18.438063,21.78018,17.933422,17.531855,21.474016,20.49734,22.286032,24.14833
reg001_B_cell.tiff,cell_71,21.95411,19.668676,19.692375,22.043022,19.010824,20.888083,18.99648,20.05834,22.055887,18.23654,16.68958,21.83446,21.264397,20.46063,23.68334
reg001_B_cell.tiff,cell_72,21.215906,19.854088,18.623617,20.821943,19.92086,20.311413,18.41792,20.251146,20.855436,17.935694,16.188154,21.224466,20.798025,19.685785,23.114807
reg001_B_cell.tiff,cell_73,20.975737,19.367958,19.679773,23.543968,18.998714,19.020746,19.759903,20.0222,22.747353,18.627974,17.786638,21.963194,20.52902,21.369596,23.616125
reg001_B_cell.tiff,cell_75,20.175274,17.72492,19.015821,19.35188,16.86616,18.873016,16.995045,19.626854,21.71544,17.782515,15.562112,20.357407,21.04337,19.548674,23.666965
reg001_B_cell.tiff,cell_76,20.061543,17.455027,16.585938,20.768213,17.1803,18.993093,16.61658,18.676115,21.599226,16.746868,16.941685,20.96513,19.911762,20.229837,22.735844
reg001_B_cell.tiff,cell_77,19.731197,17.269022,17.009008,21.182842,17.333511,18.151234,16.714191,18.366987,20.683819,16.552326,15.73351,21.125807,19.749512,20.155912,22.404564
reg001_B_cell.tiff,cell_78,19.58971,18.94697,16.431082,22.038755,17.796618,19.21589,17.112621,18.921482,21.261236,16.331665,16.448662,20.665672,18.986065,18.789639,21.967945
reg001_B_cell.tiff,cell_79,19.95565,16.388416,18.805593,20.684422,15.710772,17.58586,17.719492,17.987665,22.694033,16.556656,16.377924,19.892515,19.86602,21.28874,23.50628
reg001_B_cell.tiff,cell_80,19.95039,18.299353,16.598875,22.9473,17.796597,18.851349,16.666552,18.70042,21.22417,16.830349,17.283882,21.940214,19.692394,20.052563,22.475163
reg001_B_cell.tiff,cell_81,20.550613,15.555197,18.183928,18.518322,15.8373785,17.968077,17.29849,18.675192,21.647552,17.56378,16.937933,20.1279,21.453892,19.85681,24.093672
reg001_B_cell.tiff,cell_82,20.810238,19.84304,17.84805,22.783535,19.286644,19.64365,18.124737,20.444254,21.160065,18.153812,18.354828,21.762882,19.733139,19.577877,22.044611
reg001_B_cell.tiff,cell_83,20.227352,16.525661,19.151325,17.963108,16.472183,18.591251,17.831694,19.52073,21.706026,18.470928,15.294062,18.909496,21.433798,20.03197,23.871252
reg001_B_cell.tiff,cell_84,21.438345,19.830479,16.553892,20.900051,19.18521,19.623484,17.61798,18.843288,21.886473,17.260195,18.857466,23.037249,20.740816,20.363718,22.897131
reg001_B_cell.tiff,cell_85,20.335941,20.079756,18.5725,20.56636,17.864422,20.06226,18.216825,19.413479,21.40639,18.41234,16.111237,20.251923,19.927315,19.950874,22.743658
reg001_B_cell.tiff,cell_86,20.239815,19.11128,18.38475,19.292841,16.931746,19.486822,17.763582,19.512964,21.975239,18.364841,14.983836,19.797764,19.989895,19.867693,23.165909
reg001_B_cell.tiff,cell_87,21.428509,19.00721,16.800688,23.00761,18.504484,19.436579,16.876842,19.094883,21.149153,16.535624,17.339748,21.98533,20.209778,19.074348,22.649242
reg001_B_cell.tiff,cell_88,20.171526,18.175755,18.559631,20.14333,16.480282,19.153967,18.050093,19.183617,22.193653,17.716213,15.688038,20.003569,19.8792,19.94547,23.20181
reg001_B_cell.tiff,cell_89,21.554361,18.574951,18.002808,22.453403,17.97257,19.596996,18.042814,19.249855,22.297096,17.127707,18.375456,22.477955,20.682844,21.083712,23.605701
reg001_B_cell.tiff,cell_90,20.038183,16.42965,16.29892,20.955624,15.496737,18.621609,16.30266,18.237478,22.506273,16.12397,18.946531,21.02593,19.895504,20.308933,23.104563
reg001_B_cell.tiff,cell_91,19.993774,18.136793,16.179796,22.47437,17.688368,19.200628,16.88689,18.703442,22.14737,16.819386,18.790321,22.203518,19.7812,20.736498,23.024591
reg001_B_cell.tiff,cell_92,20.34719,17.626905,18.813704,21.013275,16.730543,18.756998,18.38522,18.070137,22.144293,17.254633,16.66417,21.171396,19.785465,21.174059,23.255163
reg001_B_cell.tiff,cell_93,19.681116,17.381037,17.342756,18.57298,15.689092,18.202118,16.802889,17.884367,20.59528,17.079187,15.560541,20.570314,19.613647,19.525097,22.990509
reg001_B_cell.tiff,cell_94,20.430147,20.230679,16.346416,22.023726,19.687529,20.04558,17.036753,19.706837,20.043676,17.404324,16.277824,22.356539,19.858814,19.007633,22.198061
reg001_B_cell.tiff,cell_95,20.66471,18.783644,16.718243,21.865086,17.80168,19.291729,17.90098,18.681118,22.366287,17.644997,18.956293,22.288143,20.002466,20.616982,23.071314
reg001_B_cell.tiff,cell_96,19.848993,17.004545,16.353376,19.971525,16.722668,18.811317,16.835533,17.350706,22.11163,16.646759,19.115387,21.398205,19.615915,21.1305,22.693207
reg001_B_cell.tiff,cell_101,20.187006,19.491537,18.836039,22.445072,18.301508,19.854599,19.071184,19.88063,21.547037,18.740664,16.4325,22.02561,19.619818,21.990545,23.216753
reg001_B_cell.tiff,cell_102,20.738,19.15216,18.97548,23.212767,18.765636,19.224419,18.947243,19.296057,23.01272,17.621069,17.536987,21.269094,19.800728,21.39873,23.187635
reg001_B_cell.tiff,cell_103,20.785479,18.859657,18.322918,23.720549,18.45917,19.33796,17.76059,19.458305,22.54817,17.270079,16.50117,21.22082,20.04301,20.571295,23.117756
reg001_B_cell.tiff,cell_104,20.78729,18.293478,19.270426,23.69908,18.234041,18.66105,18.752764,19.376842,21.51884,18.100203,18.760292,22.126205,20.014593,21.480776,22.88429
reg001_B_cell.tiff,cell_105,21.032999,19.295828,18.647806,18.524794,18.104805,20.19875,17.487436,20.643272,21.165585,18.849691,16.224865,20.506996,21.245987,18.766941,23.872044
reg001_B_cell.tiff,cell_106,20.922499,16.960682,19.26139,19.314384,16.307814,18.753965,17.845125,19.792547,22.390715,18.432352,17.048927,20.607563,21.91808,20.612528,24.577774
reg001_B_cell.tiff,cell_107,20.5994,18.531391,19.831066,23.317934,17.678944,19.152971,19.405025,19.652458,23.14916,17.944544,17.4686,21.96925,19.982687,21.332832,23.992365
reg001_B_cell.tiff,cell_108,20.093897,18.304562,18.90322,22.800592,17.72359,19.018204,18.428654,19.212759,22.066647,18.064472,16.680372,21.441208,20.096083,22.299292,23.650719
reg001_B_cell.tiff,cell_109,21.399097,19.121067,18.57539,24.177576,19.152035,19.447268,18.243135,20.2775,22.23925,17.766163,17.731201,23.094482,21.038664,20.727568,23.77274
