source_image,spot_id,A sample of Background cells,A sample of B cells,A sample of Macrophages/Monocytes cells,A sample of Adipocytes cells,A sample of Dendritic cells,A sample of T cells,A sample of Granulocytes cells,A sample of NK cells,A sample of Nerves cells,A sample of Plasma cells,A sample of Smooth muscle cells,A sample of Stroma cells,A sample of Tumor cells,A sample of Vasculature/Lymphatics cells,A sample of Other cells
reg001_A_patch.tiff,patch_32,14.303317,-2.9296658,9.020168,-10.446415,7.221571,1.1580416,4.2262383,13.017599,17.24898,-2.683797,1.2765743,6.2500157,5.937571,-5.31828,6.6847987
reg001_A_patch.tiff,patch_33,15.281643,-1.5503082,11.725326,-6.580104,9.299166,1.2032651,2.5082114,12.725488,18.30843,2.995542,4.92018,6.1984253,9.748561,-4.804616,6.253782
reg001_A_patch.tiff,patch_34,10.696503,9.594272,12.803758,-0.04082737,24.50691,6.325596,18.609035,26.222645,9.649758,8.501395,2.5164936,4.3169813,7.5468984,4.3160357,10.2177925
reg001_A_patch.tiff,patch_35,14.392837,9.594881,15.12208,-2.4558778,19.25064,7.6812706,14.622542,22.112967,11.220079,3.9153306,2.8425987,4.661333,8.3655815,0.69924897,8.586528
reg001_A_patch.tiff,patch_36,11.866417,5.0461426,14.288841,-0.23617171,18.027306,5.3275113,16.373634,18.453247,11.377477,1.4997873,8.805795,3.537669,7.8246284,1.8876184,8.188686
reg001_A_patch.tiff,patch_37,14.097789,-9.359093,10.029544,-2.422449,4.701335,-7.244205,2.715072,4.309762,18.384632,-4.3460865,8.256407,9.434709,9.589484,4.468516,11.013698
reg001_A_patch.tiff,patch_38,14.076766,-8.351418,7.219586,-4.5190315,4.562265,-2.9581852,1.602291,7.043729,18.240229,-1.1414943,8.346073,8.095073,9.97538,-2.3393052,11.408842
reg001_A_patch.tiff,patch_39,17.689297,1.04274,14.750893,-7.3904924,11.965843,5.4891796,9.431367,14.684831,17.655209,-1.8641428,-0.6386362,9.837188,10.943804,-0.6134335,11.602591
reg001_A_patch.tiff,patch_40,10.3476515,3.9264765,18.160229,1.0023074,14.813701,1.8219564,12.840698,15.867954,4.284716,-2.0945153,1.3255656,-0.40579244,3.4952476,0.9509611,9.084653
reg001_A_patch.tiff,patch_41,16.462164,3.6132631,13.905996,-0.73483765,21.478825,0.87430215,14.061191,23.78748,6.8521028,3.574761,7.4218283,9.750853,11.4732685,9.981334,11.060928
reg001_A_patch.tiff,patch_42,10.727439,6.8929768,11.267247,-2.440505,23.543938,1.2256691,15.7224245,28.137638,10.3258295,4.933227,3.831124,4.390997,9.938755,4.8165927,11.558374
reg001_A_patch.tiff,patch_43,18.023855,4.403525,12.893792,-1.060432,19.836088,2.347222,17.626331,22.866434,11.27507,1.153703,6.627324,8.881222,12.794714,-0.043474644,12.41434
reg001_A_patch.tiff,patch_44,12.906817,-1.7608181,10.752531,-2.8552134,10.012455,1.758769,9.013013,11.0002775,13.978374,-1.4545455,1.2974154,6.1191864,4.4260902,-5.552427,10.235395
reg001_A_patch.tiff,patch_45,10.5622635,-5.7590084,10.491831,0.3833418,8.989886,1.6834604,6.7258406,6.744008,13.935484,-2.8855274,2.6535697,5.302063,5.8123107,0.95084196,11.775213
reg001_B_cell.tiff,cell_0,23.461296,-5.5664687,17.017088,6.690755,12.9257,-0.4623849,11.79803,13.701751,20.347553,-3.1598215,9.163985,14.8879595,9.676878,8.635732,16.43453
reg001_B_cell.tiff,cell_1,17.140835,-3.4479918,16.05724,3.906551,12.563955,0.80089533,15.15367,10.77656,21.252054,-4.9724436,3.0644968,8.742999,11.0127945,1.6678306,18.834127
reg001_B_cell.tiff,cell_2,21.326916,-12.097198,13.074112,5.7334404,5.8228364,-6.928648,11.784695,10.589375,12.052228,-3.6773038,-0.9013077,9.116388,8.540329,1.7713135,15.880105
reg001_B_cell.tiff,cell_4,21.496367,-4.5866656,16.886713,6.3461003,11.858338,0.4343903,13.156624,12.303778,22.13073,-3.345563,3.775576,11.223741,10.101733,5.01176,18.248404
reg001_B_cell.tiff,cell_5,21.365734,-11.791607,12.207809,5.6840796,7.501353,-6.0484114,6.7360077,6.80546,10.009839,-6.6534867,10.749602,16.065176,8.140147,13.5431385,11.463957
reg001_B_cell.tiff,cell_6,19.963442,-2.3714116,16.568203,5.8214602,15.484593,8.778269,17.301434,23.080835,19.814552,2.185518,19.196257,18.758167,8.143666,6.1113253,11.595062
reg001_B_cell.tiff,cell_7,19.11743,-11.381781,9.2352295,2.060527,9.102278,-6.5815187,5.9276896,5.675944,13.497279,-3.9329588,11.176646,14.676614,9.321667,9.464637,11.877795
reg001_B_cell.tiff,cell_8,13.434634,-9.522589,7.789311,-4.758339,7.145366,-2.5286794,5.640032,7.6617107,12.158223,-3.0373793,4.7232747,6.4813843,5.9926667,-0.26961336,7.8822675
reg001_B_cell.tiff,cell_10,16.116905,-11.549048,14.853611,-0.37853545,9.91081,-6.410665,7.7358565,1.4201422,18.06646,-7.709976,1.8432415,8.517914,8.187636,9.056318,15.121656
reg001_B_cell.tiff,cell_11,18.709984,-8.719661,5.340278,-1.2772083,12.428979,-0.4901921,4.255823,16.352114,15.515699,-2.3599598,9.50615,8.893211,6.1265936,-5.250359,6.908348
reg001_B_cell.tiff,cell_12,19.129305,-7.226204,10.599989,0.5884143,10.501507,-0.9557626,10.90025,14.979998,9.99887,-3.3033843,3.9567235,9.418455,10.150483,3.0398068,10.442264
reg001_B_cell.tiff,cell_13,20.107574,-8.645613,6.962391,-0.89437056,15.247248,-1.3563267,3.579424,16.5699,12.162897,-4.3111157,4.718404,13.5622635,10.260102,-2.6877408,14.552981
reg001_B_cell.tiff,cell_14,11.01243,-4.6359406,21.859503,5.098515,12.043444,0.61939955,17.010893,18.27862,9.043382,-13.269619,1.0276766,3.7889435,-1.5003264,2.24397,10.398111
reg001_B_cell.tiff,cell_15,19.963486,-2.6109865,10.4408655,0.21214235,16.24207,7.381166,11.963375,22.647945,18.520172,4.4752803,9.564848,12.075754,6.349507,-1.4074748,8.6867485
reg001_B_cell.tiff,cell_16,19.642567,-3.287499,8.75576,-0.19815595,14.406979,8.680584,12.386904,22.528885,19.387432,6.8881316,10.668701,13.609187,7.8330564,-2.3166087,8.29587
reg001_B_cell.tiff,cell_17,17.755102,-9.64307,6.2109613,-2.07199,12.253025,-2.985533,2.0021627,14.53444,15.355793,-2.353666,10.34449,7.4541597,6.467974,-3.9477417,7.73257
reg001_B_cell.tiff,cell_18,17.690948,-8.697272,6.948097,-1.1310829,9.556147,-1.7768179,2.7329426,14.379893,12.284807,-2.1624162,6.802441,8.146703,7.012207,-4.735173,10.147062
reg001_B_cell.tiff,cell_19,13.810639,-2.4232893,13.523268,-2.6105123,14.880392,3.8638582,7.5425425,12.469618,21.147995,-4.646188,9.830521,7.743987,11.892351,2.4144666,14.026843
reg001_B_cell.tiff,cell_20,12.326377,-4.132863,17.532139,-0.16377611,14.072331,1.9956578,10.8106365,11.147319,14.923458,-5.401004,10.413121,6.413046,9.123696,5.3016496,12.176027
reg001_B_cell.tiff,cell_21,20.441519,-8.607378,19.393528,6.0006375,11.989834,-2.0154638,13.939161,13.427274,11.286742,-4.3368754,1.2119826,11.659866,5.154649,1.8591774,18.571615
reg001_B_cell.tiff,cell_22,20.121809,-9.427838,18.59051,4.4318886,12.499928,-5.0291376,10.8472,15.064732,14.979464,-9.97716,-1.1484425,6.1876063,2.1619484,4.5879145,14.08895
reg001_B_cell.tiff,cell_23,17.21196,-11.296269,3.2791817,-2.7257538,12.187797,-0.9770531,-0.68013376,11.776797,11.292427,-4.8860054,11.488038,13.456624,10.1533985,-2.22622,7.7239537
reg001_B_cell.tiff,cell_24,14.617046,-10.020762,1.3484924,-3.9604855,12.299376,-2.8426263,-1.2214144,11.508139,12.041269,-4.1619735,12.46211,10.705366,9.689105,-2.049085,7.332463
reg001_B_cell.tiff,cell_25,14.902919,-9.455142,7.8764443,-3.5873618,10.522249,-0.75821364,1.4439876,10.317944,14.386334,-4.845641,9.1544285,10.29176,9.028229,-0.972858,10.075106
reg001_B_cell.tiff,cell_26,21.809677,-6.3332753,17.587204,5.550249,12.1576395,-1.8458301,12.719249,13.011865,20.36621,-4.1229057,6.3672757,13.252588,8.914847,8.050537,17.830093
reg001_B_cell.tiff,cell_27,24.28678,-6.0780873,17.951979,7.815152,12.74141,-5.5496945,15.811852,12.244897,15.900072,-2.999476,5.0662045,13.217722,8.311688,10.177651,18.651585
reg001_B_cell.tiff,cell_28,13.248749,-9.337735,5.633713,-6.510151,12.645615,-1.4770557,0.84098166,9.949736,13.5152645,-6.4437175,9.421441,8.492773,8.194807,-1.1098181,9.276086
reg001_B_cell.tiff,cell_29,13.510095,-13.793831,3.0209572,-5.8870015,12.031954,-1.248293,-2.4418385,2.2911196,17.56506,-1.6188991,13.850745,14.823418,10.201238,-2.041285,12.600634
reg001_B_cell.tiff,cell_30,11.096386,-14.842348,1.9221637,-7.525997,10.824361,-2.2299984,-4.659199,1.7954578,17.480663,-0.82086706,16.154947,15.237442,10.217673,-4.2083693,12.730179
reg001_B_cell.tiff,cell_31,8.91279,-6.4922376,11.6447315,-5.1253576,10.402753,0.46975133,5.5325675,8.657236,17.395481,-3.5492594,7.768513,5.4885554,8.977504,-1.2972116,9.637383
reg001_B_cell.tiff,cell_32,6.927317,-4.835566,10.023656,-5.2762446,10.767545,1.562849,3.6951153,10.371952,19.497742,-5.269042,10.471799,6.304927,7.9987345,0.79006577,8.401779
reg001_B_cell.tiff,cell_34,18.37668,-8.814789,15.817132,4.1111755,8.295643,-8.603968,11.750148,9.892,7.708428,-8.418111,3.4160964,10.846586,6.8442073,14.194916,14.852864
reg001_B_cell.tiff,cell_35,27.501482,-9.739293,11.418966,4.7651677,13.340175,1.4392188,10.715172,15.343327,17.334581,-1.4318429,7.145503,20.437342,15.023777,5.994111,15.495564
reg001_B_cell.tiff,cell_36,26.243042,-6.9868875,13.945017,3.3156705,12.447996,2.321057,12.282065,14.094415,20.734798,1.026437,5.0519567,17.747929,16.134737,4.1600065,17.45312
reg001_B_cell.tiff,cell_37,13.146369,-1.775974,14.158693,-0.3111571,12.917758,-2.619126,13.196277,10.544084,16.965874,-6.141805,-2.3971868,2.6666102,9.366572,4.30758,16.92286
reg001_B_cell.tiff,cell_38,22.322212,-5.71613,10.013971,2.0596976,14.608804,1.5334538,11.851567,14.888997,17.170134,-1.5110303,5.98802,14.223341,12.8544445,2.1954231,14.183451
reg001_B_cell.tiff,cell_39,24.222157,-8.061877,9.485578,1.304417,10.731471,1.1263876,6.834885,12.354105,20.485046,-3.5961554,6.327353,13.0680485,10.9100685,0.08039446,7.2529836
reg001_B_cell.tiff,cell_40,23.392294,-4.203375,15.405932,4.241147,14.347304,2.3466344,12.897491,14.60211,19.28937,2.709953,0.36810294,12.592411,11.327151,2.3043437,17.711287
reg001_B_cell.tiff,cell_41,22.06777,-8.983114,12.995261,-0.98059916,7.9593377,-6.562962,10.882011,12.729137,13.562897,-1.4433843,3.4786146,12.102366,10.6849985,7.01547,15.388751
reg001_B_cell.tiff,cell_42,22.11628,-17.173836,7.079147,0.009068912,6.5186224,-10.092967,4.7216187,5.9038706,12.049531,-4.2873926,1.2793745,10.519434,11.057538,3.9511242,13.265417
reg001_B_cell.tiff,cell_43,22.915787,-9.223891,11.524063,-0.56831765,9.296839,-4.9994493,8.748322,11.14911,16.141045,-1.5064155,3.5129323,12.759292,11.02923,4.872579,16.040306
reg001_B_cell.tiff,cell_44,23.206879,-7.81622,13.189106,-0.594815,10.002555,-3.9172018,10.398956,9.820857,16.755606,-1.4638284,3.8626533,11.730307,11.540075,5.040304,16.856806
reg001_B_cell.tiff,cell_45,20.077217,-13.47676,6.5912538,4.768178,12.601368,-9.275844,4.222438,7.2813687,13.73044,-0.8302325,4.2941003,12.707677,10.595871,5.5426664,16.566402
reg001_B_cell.tiff,cell_46,18.844532,-10.553292,9.52079,2.7143605,9.977713,-7.157417,6.685652,7.4601574,13.904374,-4.090623,11.231974,14.30371,9.420926,10.233366,11.830739
reg001_B_cell.tiff,cell_47,17.148798,-9.722185,13.290126,-1.3545558,11.495766,-5.007383,7.332638,5.357339,18.089487,-6.4221606,4.0609593,9.137961,9.876436,9.455594,14.888761
reg001_B_cell.tiff,cell_48,19.474752,-6.2933345,7.954513,-0.0059931837,16.491917,2.7645144,9.488496,20.544771,18.416597,2.308536,10.570593,10.904421,6.1286554,-0.5375604,9.6727295
reg001_B_cell.tiff,cell_49,19.620201,-6.778079,7.478086,-0.46488643,11.970344,4.6627254,8.599714,17.736752,19.04261,4.0035105,8.989128,12.03036,9.782678,-4.2844467,7.5806823
reg001_B_cell.tiff,cell_50,15.726944,-9.104534,7.3491206,1.1883677,5.873445,-1.0037161,4.2084975,9.026262,15.658106,-1.890892,3.2938519,6.2960773,6.3428435,-2.4723046,10.248808
reg001_B_cell.tiff,cell_51,23.85444,-1.435908,15.784819,4.1469717,14.578551,-3.2708137,11.106027,10.31059,13.233428,-1.2488785,4.0300436,10.631664,14.663381,-0.8620769,17.57259
reg001_B_cell.tiff,cell_52,14.828726,-2.5053675,14.012183,-2.1624618,10.401406,-0.0049646175,8.908758,7.199494,24.263044,0.78826034,-0.29645425,3.8480263,9.990315,4.3612084,16.098644
reg001_B_cell.tiff,cell_54,17.324081,-12.097847,4.9076385,-3.5123231,15.527946,-2.2414823,-0.70615643,8.978735,16.01157,-2.956924,15.523372,13.405191,9.896243,1.6620677,7.290729
reg001_B_cell.tiff,cell_55,10.730297,-1.6215768,7.103993,-3.1765723,13.794544,3.3348336,2.1560047,8.155932,22.754028,3.4285064,0.1761653,3.8004656,9.680427,0.72174615,13.661391
reg001_B_cell.tiff,cell_56,17.648214,-6.159795,9.331676,0.085684806,13.730356,0.8644074,5.2014246,11.521436,12.01568,-3.0858376,4.446309,11.24427,9.93758,-1.9946368,14.398844
reg001_B_cell.tiff,cell_57,16.562956,-8.945871,8.47239,-2.9183977,12.988407,0.6596908,4.1132474,11.790149,17.206823,-4.3148293,9.480443,11.02297,11.105354,1.2159376,12.138213
reg001_B_cell.tiff,cell_58,23.072933,-1.1527722,14.760093,3.713353,16.125372,1.5292449,10.597069,16.977583,17.2894,8.869318,0.10121409,10.762571,9.308457,2.5622032,16.968903
reg001_B_cell.tiff,cell_59,24.537992,-3.652348,10.594715,0.9913634,16.419819,3.2522402,9.0077715,15.265723,17.135683,9.030263,1.9960978,13.749435,11.733045,-0.2076642,15.605775
reg001_B_cell.tiff,cell_61,13.668582,-5.204024,17.023869,-1.0944402,13.477877,1.968229,9.779504,10.166821,18.730654,-4.0539665,11.547273,8.485358,11.676241,4.682713,13.085039
reg001_B_cell.tiff,cell_62,23.018797,-2.0607347,17.640863,2.113177,16.44863,3.8953133,14.528396,13.36939,22.53786,2.440965,8.294118,13.747367,11.731835,4.2910953,16.493706
reg001_B_cell.tiff,cell_63,21.057953,-2.281717,21.22642,3.649058,17.556475,4.7910647,16.072296,10.011245,22.75567,-0.5247959,6.3295236,12.653619,10.467811,1.5074235,20.537336
reg001_B_cell.tiff,cell_64,15.761558,-2.0613132,19.20243,2.2655942,15.862772,3.2162533,13.028984,6.1184,20.905361,-2.140836,4.3788576,8.422463,7.620136,-0.9134134,18.546755
reg001_B_cell.tiff,cell_65,20.302225,-1.0857264,20.422335,2.7657125,15.876863,3.3019087,16.478771,8.687423,19.265903,-1.2171388,3.1724074,10.671208,10.687045,-1.738793,19.680508
reg001_B_cell.tiff,cell_66,11.247587,-10.670241,5.053038,-10.566323,11.550146,-4.2145047,-0.1353372,6.807696,15.4935255,-0.27802044,4.296579,7.2749295,7.3622804,-6.3891716,10.118275
reg001_B_cell.tiff,cell_67,15.122109,-7.737682,16.260332,2.6170921,8.375698,-2.497922,10.073774,12.579363,12.879193,-7.523588,-5.9343204,2.2410338,2.555267,-0.85342354,12.204707
reg001_B_cell.tiff,cell_68,22.48548,-7.825615,16.51377,4.6506147,12.875481,-2.3250952,11.427906,9.933137,20.107864,-3.992727,5.232177,13.260144,10.222438,5.862298,17.535797
reg001_B_cell.tiff,cell_69,16.04843,-2.6075711,15.58299,2.5296803,12.083366,-0.616311,12.54808,7.978475,18.83452,-4.215085,-0.29502308,5.362948,10.9274845,1.1150539,16.982813
reg001_B_cell.tiff,cell_70,23.85244,-6.7864704,16.672867,8.175563,11.888832,-0.3270542,10.586101,11.602234,19.704756,-2.969682,6.2399063,15.022934,8.71289,4.841076,15.899783
reg001_B_cell.tiff,cell_71,21.64842,-6.2013264,9.015554,0.3865886,14.411305,1.0218469,9.935519,13.769655,16.897072,-2.540084,3.5130267,13.768417,12.672422,0.952335,13.415163
reg001_B_cell.tiff,cell_72,19.223106,-8.9113245,6.8974557,-2.3577518,14.740513,-0.48127553,6.565683,6.9301133,14.849221,-6.083505,3.176916,13.209997,15.207166,0.1695638,12.22595
reg001_B_cell.tiff,cell_73,19.948956,-7.3871703,18.392899,3.2917,10.9467325,-2.1886466,11.075116,13.799597,16.978386,-1.1201572,1.8046056,10.072938,10.213147,8.460116,14.511914
reg001_B_cell.tiff,cell_75,21.452883,-11.546661,9.081929,5.40022,11.350774,-9.819807,7.732817,10.013603,13.395322,-1.8005207,1.196553,11.386474,10.613293,3.1323392,17.455315
reg001_B_cell.tiff,cell_76,14.959064,-7.650299,13.325437,-0.6842233,11.641376,-1.5071037,7.5254793,7.9979377,19.840612,-3.484177,2.72952,8.106147,8.370118,9.94539,12.876954
reg001_B_cell.tiff,cell_77,17.726547,-11.428856,11.633691,-1.2026081,9.385396,-5.8196483,5.95912,4.577068,15.1153755,-5.8634534,3.4572747,10.322125,9.945869,11.874221,13.261576
reg001_B_cell.tiff,cell_78,14.141962,-12.830739,10.370956,-1.2585498,7.4420605,-3.3821871,7.207129,10.307395,8.21452,-4.8717465,-0.78320867,5.3945932,3.466375,0.55541545,6.241638
reg001_B_cell.tiff,cell_79,15.619342,-7.8750606,15.5664215,-1.3850365,3.8844736,-4.514191,7.4695287,3.1800122,19.834583,-3.2863524,2.8099098,4.6176276,7.678696,3.7850585,14.576246
reg001_B_cell.tiff,cell_80,17.064598,-10.611744,11.857688,2.4243858,4.06243,-4.3577104,10.370553,10.547192,10.954512,-0.39688537,2.5669467,7.7802086,5.711564,3.9306953,7.739809
reg001_B_cell.tiff,cell_81,15.064743,-1.5857854,12.394519,3.2946813,7.9769335,2.5184038,3.1927524,6.8458767,23.20254,3.5560129,2.2659051,5.195365,6.8787518,0.16012256,11.662502
reg001_B_cell.tiff,cell_82,18.013464,-6.927626,17.488998,3.9251738,9.002504,-4.672041,11.63852,11.453915,14.438042,-1.570907,7.93096,10.252165,7.901596,11.400901,10.611306
reg001_B_cell.tiff,cell_83,13.3548,-1.7238772,11.057335,-0.031661585,10.789478,2.6094315,4.6909046,8.533279,22.618319,3.2308352,1.8207312,4.13778,8.223317,1.920382,12.272289
reg001_B_cell.tiff,cell_84,15.706683,-4.2852554,12.029836,-0.89213425,13.529968,3.0170214,5.5432143,11.1197405,23.995256,-3.0553682,11.318857,10.214362,12.907642,2.6229587,14.299543
reg001_B_cell.tiff,cell_85,16.71708,-4.026909,13.405136,-4.235891,12.325328,-2.555677,11.31149,9.823884,20.190939,-6.91242,5.291399,7.536174,15.712086,13.827604,15.2312
reg001_B_cell.tiff,cell_86,12.230699,-1.5902483,11.019668,-4.1230817,12.762161,0.16187489,8.961367,10.182849,15.179014,-7.9327445,2.1571639,6.4793,14.737169,16.56318,13.567951
reg001_B_cell.tiff,cell_87,21.205359,-6.144085,14.052419,4.8515306,11.311052,-1.8529234,14.23762,15.290227,9.267965,-0.04544957,6.3099346,12.312066,8.752398,4.975659,13.165429
reg001_B_cell.tiff,cell_88,12.505313,-0.254422,12.467694,-3.7611976,13.987661,-0.6612076,11.657609,10.3911915,15.126204,-7.2209754,2.002866,5.63809,13.974216,16.084173,14.361014
reg001_B_cell.tiff,cell_89,20.374231,-8.266143,11.711969,1.2234372,13.75372,-1.5420917,10.4914875,13.415578,15.397301,-2.0052073,8.264096,14.036162,10.599684,4.074892,13.228549
reg001_B_cell.tiff,cell_90,21.202044,-12.034442,9.546833,2.3097334,12.303941,-5.3348184,5.5710683,7.807763,14.744188,-2.7361076,6.2476883,14.569062,11.567477,4.5587,14.990101
reg001_B_cell.tiff,cell_91,18.016605,-10.425428,13.349174,-0.5946751,12.26823,-4.098408,7.9197226,5.7588696,20.21015,-4.0819845,5.9258533,11.876159,13.461484,10.24019,15.092894
reg001_B_cell.tiff,cell_92,15.023258,-3.3933506,19.652775,2.3568769,14.207087,2.4179568,12.530031,4.4627213,22.030886,-2.9672487,3.809931,9.270851,7.319566,0.45478904,18.95519
reg001_B_cell.tiff,cell_93,17.867792,-2.1717575,19.133192,2.894297,17.390654,3.8288927,13.68312,6.0739284,19.876238,-2.7932649,6.836898,10.989456,9.066345,-0.6941106,19.873768
